Snippet Name;Image Path;Answer_1;Answer_2;Answer_3;Correct_Answer;Break Duration;Event Code
-clean-v0.png;v0/-clean-v0.png;true;false;;true;2;2
-clean-v1.png;v1/-clean-v1.png;false;true;;false;2;2
-clean-v2.png;v2/-clean-v2.png;false;true;;false;2;2
-obf-v0.png;v0/-obf-v0.png;true;false;;true;2;1
-obf-v1.png;v1/-obf-v1.png;false;true;;false;2;1
-obf-v2.png;v2/-obf-v2.png;false;true;;false;2;1
10-clean-v0.png;v0/10-clean-v0.png;1;0;2;1;2;2
10-clean-v1.png;v1/10-clean-v1.png;-1;0;5;-1;10;2
10-clean-v2.png;v2/10-clean-v2.png;7;6;4;7;2;2
10-obf-v0.png;v0/10-obf-v0.png;1;0;2;1;2;1
10-obf-v1.png;v1/10-obf-v1.png;-1;0;5;-1;2;1
10-obf-v2.png;v2/10-obf-v2.png;7;6;4;7;2;1
11-clean-v0.png;v0/11-clean-v0.png;true;false;;true;2;2
11-clean-v1.png;v1/11-clean-v1.png;false;true;;false;2;2
11-clean-v2.png;v2/11-clean-v2.png;true;false;;true;2;2
11-obf-v0.png;v0/11-obf-v0.png;true;false;;true;10;1
11-obf-v1.png;v1/11-obf-v1.png;false;true;;false;2;1
11-obf-v2.png;v2/11-obf-v2.png;true;false;;true;2;1
12-clean-v0.png;v0/12-clean-v0.png;7;6;8;7;2;2
12-clean-v1.png;v1/12-clean-v1.png;0;1;-1;0;2;2
12-clean-v2.png;v2/12-clean-v2.png;4;3;2;4;2;2
12-obf-v0.png;v0/12-obf-v0.png;7;6;8;7;2;1
12-obf-v1.png;v1/12-obf-v1.png;0;1;-1;0;2;1
12-obf-v2.png;v2/12-obf-v2.png;4;3;2;4;10;1
13-clean-v0.png;v0/13-clean-v0.png;5;6;3;5;2;2
13-clean-v1.png;v1/13-clean-v1.png;11;4;7;11;2;2
13-clean-v2.png;v2/13-clean-v2.png;5;6;8;5;2;2
13-obf-v0.png;v0/13-obf-v0.png;5;6;3;5;2;1
13-obf-v1.png;v1/13-obf-v1.png;11;4;7;11;2;1
13-obf-v2.png;v2/13-obf-v2.png;5;6;8;5;2;1
14-clean-v0.png;v0/14-clean-v0.png;4;8;2;4;2;2
14-clean-v1.png;v1/14-clean-v1.png;12;16;4;12;10;2
14-clean-v2.png;v2/14-clean-v2.png;27;30;9;27;2;2
14-obf-v0.png;v0/14-obf-v0.png;4;8;2;4;2;1
14-obf-v1.png;v1/14-obf-v1.png;12;16;4;12;2;1
14-obf-v2.png;v2/14-obf-v2.png;27;30;9;27;2;1
15-clean-v0.png;v0/15-clean-v0.png;9.0;8.0;10.0;9.0;2;2
15-clean-v1.png;v1/15-clean-v1.png;13.0;12.0;14.0;13.0;2;2
15-clean-v2.png;v2/15-clean-v2.png;62.0;60.0;63.0;62.0;2;2
15-obf-v0.png;v0/15-obf-v0.png;9.0;8.0;10.0;9.0;10;1
15-obf-v1.png;v1/15-obf-v1.png;13.0;12.0;14.0;13.0;2;1
15-obf-v2.png;v2/15-obf-v2.png;62.0;60.0;63.0;62.0;2;1
16-clean-v0.png;v0/16-clean-v0.png;7;5;3;7;2;2
16-clean-v1.png;v1/16-clean-v1.png;5;4;6;5;2;2
16-clean-v2.png;v2/16-clean-v2.png;6;4;13;6;2;2
16-obf-v0.png;v0/16-obf-v0.png;7;5;3;7;2;1
16-obf-v1.png;v1/16-obf-v1.png;5;4;6;5;2;1
16-obf-v2.png;v2/16-obf-v2.png;6;4;13;6;10;1
17-clean-v0.png;v0/17-clean-v0.png;6;10;5;6;2;2
17-clean-v1.png;v1/17-clean-v1.png;1;3;4;1;2;2
17-clean-v2.png;v2/17-clean-v2.png;9;8;1;9;2;2
17-obf-v0.png;v0/17-obf-v0.png;6;10;5;6;2;1
17-obf-v1.png;v1/17-obf-v1.png;1;3;4;1;2;1
17-obf-v2.png;v2/17-obf-v2.png;9;8;1;9;2;1
18-clean-v0.png;v0/18-clean-v0.png;2;1;3;2;2;2
18-clean-v1.png;v1/18-clean-v1.png;2;5;7;2;10;2
18-clean-v2.png;v2/18-clean-v2.png;6;4;5;6;2;2
18-obf-v0.png;v0/18-obf-v0.png;2;1;3;2;2;1
18-obf-v1.png;v1/18-obf-v1.png;2;5;7;2;2;1
18-obf-v2.png;v2/18-obf-v2.png;6;4;5;6;2;1
30-clean-v0.png;v0/30-clean-v0.png;true;false;;true;2;2
30-clean-v1.png;v1/30-clean-v1.png;true;false;;true;2;2
30-clean-v2.png;v2/30-clean-v2.png;false;true;;false;2;2
30-obf-v0.png;v0/30-obf-v0.png;true;false;;true;10;1
30-obf-v1.png;v1/30-obf-v1.png;true;false;;true;2;1
30-obf-v2.png;v2/30-obf-v2.png;false;true;;false;2;1
4-clean-v0.png;v0/4-clean-v0.png;0;-1;-2;0;2;2
4-clean-v1.png;v1/4-clean-v1.png;6;4;3;6;2;2
4-clean-v2.png;v2/4-clean-v2.png;7;16;8;7;2;2
4-obf-v0.png;v0/4-obf-v0.png;0;-1;-2;0;2;1
4-obf-v1.png;v1/4-obf-v1.png;6;4;3;6;2;1
4-obf-v2.png;v2/4-obf-v2.png;7;16;8;7;10;1
49-clean-v0.png;v0/49-clean-v0.png;2;1;3;2;2;2
49-clean-v1.png;v1/49-clean-v1.png;22;10;40;22;2;2
49-clean-v2.png;v2/49-clean-v2.png;42;21;80;42;2;2
49-obf-v0.png;v0/49-obf-v0.png;2;1;3;2;10;1
49-obf-v1.png;v1/49-obf-v1.png;22;10;40;22;2;1
49-obf-v2.png;v2/49-obf-v2.png;42;21;80;42;2;1
5-clean-v0.png;v0/5-clean-v0.png;true;false;;true;2;2
5-clean-v1.png;v1/5-clean-v1.png;true;false;;true;2;2
5-clean-v2.png;v2/5-clean-v2.png;false;true;;false;2;2
5-obf-v0.png;v0/5-obf-v0.png;true;false;;true;2;1
5-obf-v1.png;v1/5-obf-v1.png;true;false;;true;2;1
5-obf-v2.png;v2/5-obf-v2.png;false;true;;false;10;1
54-clean-v0.png;v0/54-clean-v0.png;0;15;12;0;2;2
54-clean-v1.png;v1/54-clean-v1.png;9;15;24;9;10;2
54-clean-v2.png;v2/54-clean-v2.png;0;6;2;0;2;2
54-obf-v0.png;v0/54-obf-v0.png;0;15;12;0;2;1
54-obf-v1.png;v1/54-obf-v1.png;9;15;24;9;2;1
54-obf-v2.png;v2/54-obf-v2.png;0;6;2;0;2;1
57-clean-v0.png;v0/57-clean-v0.png;8;5;10;8;2;2
57-clean-v1.png;v1/57-clean-v1.png;10;13;6;10;2;2
57-clean-v2.png;v2/57-clean-v2.png;21;20;22;21;2;2
57-obf-v0.png;v0/57-obf-v0.png;8;5;10;8;2;1
57-obf-v1.png;v1/57-obf-v1.png;10;13;6;10;2;1
57-obf-v2.png;v2/57-obf-v2.png;21;20;22;21;2;1
6-clean-v0.png;v0/6-clean-v0.png;true;false;;true;2;2
6-clean-v1.png;v1/6-clean-v1.png;true;false;;true;2;2
6-clean-v2.png;v2/6-clean-v2.png;true;false;;true;2;2
6-obf-v0.png;v0/6-obf-v0.png;true;false;;true;10;1
6-obf-v1.png;v1/6-obf-v1.png;true;false;;true;2;1
6-obf-v2.png;v2/6-obf-v2.png;true;false;;true;2;1
60-clean-v0.png;v0/60-clean-v0.png;32;1;288;32;2;2
60-clean-v1.png;v1/60-clean-v1.png;0;2;512;0;2;2
60-clean-v2.png;v2/60-clean-v2.png;40;255;296;40;2;2
60-obf-v0.png;v0/60-obf-v0.png;32;1;288;32;2;1
60-obf-v1.png;v1/60-obf-v1.png;0;2;512;0;2;1
60-obf-v2.png;v2/60-obf-v2.png;40;255;296;40;10;1
61-clean-v0.png;v0/61-clean-v0.png;4;2;0;4;2;2
61-clean-v1.png;v1/61-clean-v1.png;256;128;42;256;2;2
61-clean-v2.png;v2/61-clean-v2.png;66;6;60;66;2;2
61-obf-v0.png;v0/61-obf-v0.png;4;2;0;4;2;1
61-obf-v1.png;v1/61-obf-v1.png;256;128;42;256;2;1
61-obf-v2.png;v2/61-obf-v2.png;66;6;60;66;2;1
62-clean-v0.png;v0/62-clean-v0.png;3;6;1;3;2;2
62-clean-v1.png;v1/62-clean-v1.png;60;30;84;60;10;2
62-clean-v2.png;v2/62-clean-v2.png;50;500;100;50;2;2
62-obf-v0.png;v0/62-obf-v0.png;3;6;1;3;2;1
62-obf-v1.png;v1/62-obf-v1.png;60;30;84;60;2;1
62-obf-v2.png;v2/62-obf-v2.png;50;500;100;50;2;1
63-clean-v0.png;v0/63-clean-v0.png;9;7;5;9;2;2
63-clean-v1.png;v1/63-clean-v1.png;5;10;12;5;2;2
63-clean-v2.png;v2/63-clean-v2.png;80;50;40;80;2;2
63-obf-v0.png;v0/63-obf-v0.png;9;7;5;9;10;1
63-obf-v1.png;v1/63-obf-v1.png;5;10;12;5;2;1
63-obf-v2.png;v2/63-obf-v2.png;80;50;40;80;2;1
7-clean-v0.png;v0/7-clean-v0.png;5;6;3;5;2;2
7-clean-v1.png;v1/7-clean-v1.png;7;8;5;7;2;2
7-clean-v2.png;v2/7-clean-v2.png;8;9;7;8;2;2
7-obf-v0.png;v0/7-obf-v0.png;5;6;3;5;2;1
7-obf-v1.png;v1/7-obf-v1.png;7;8;5;7;2;1
7-obf-v2.png;v2/7-obf-v2.png;8;9;7;8;10;1
8-clean-v0.png;v0/8-clean-v0.png;true;false;;true;2;2
8-clean-v1.png;v1/8-clean-v1.png;false;true;;false;2;2
8-clean-v2.png;v2/8-clean-v2.png;false;true;;false;2;2
8-obf-v0.png;v0/8-obf-v0.png;true;false;;true;2;1
8-obf-v1.png;v1/8-obf-v1.png;false;true;;false;2;1
8-obf-v2.png;v2/8-obf-v2.png;false;true;;false;2;1
9-clean-v0.png;v0/9-clean-v0.png;false;true;;false;2;2
9-clean-v1.png;v1/9-clean-v1.png;true;false;;true;10;2
9-clean-v2.png;v2/9-clean-v2.png;false;true;;false;2;2
9-obf-v0.png;v0/9-obf-v0.png;false;true;;false;2;1
9-obf-v1.png;v1/9-obf-v1.png;true;false;;true;2;1
9-obf-v2.png;v2/9-obf-v2.png;false;true;;false;2;1
