Snippet Name;Image Path;Answer_1;Answer_2;Answer_3;Correct_Answer;Break Duration;Event Code
10-clean-v2.png;v2/10-clean-v2.png;4;6;7;7;2;2
13-clean-v2.png;v2/13-clean-v2.png;5;6;8;5;2;2
16-obf-v2.png;v2/16-obf-v2.png;4;6;13;6;10;1
-obf-v2.png;v2/-obf-v2.png;false;true;EMPTY;false;2;1
57-obf-v2.png;v2/57-obf-v2.png;20;21;22;21;2;1
11-clean-v2.png;v2/11-clean-v2.png;false;true;EMPTY;false;2;2
49-obf-v2.png;v2/49-obf-v2.png;21;42;80;42;2;1
14-clean-v2.png;v2/14-clean-v2.png;9;27;30;27;2;2
5-clean-v2.png;v2/5-clean-v2.png;false;true;EMPTY;false;2;2
18-obf-v2.png;v2/18-obf-v2.png;4;5;6;6;2;1
12-obf-v2.png;v2/12-obf-v2.png;2;3;4;4;10;1
61-clean-v2.png;v2/61-clean-v2.png;6;60;66;66;2;2
7-clean-v2.png;v2/7-clean-v2.png;8;9;17;8;2;2
60-obf-v2.png;v2/60-obf-v2.png;40;255;296;40;10;1
15-clean-v2.png;v2/15-clean-v2.png;62.0;63.0;312.0;62.0;2;2
63-obf-v2.png;v2/63-obf-v2.png;40;50;80;80;2;1
17-obf-v2.png;v2/17-obf-v2.png;1;8;9;9;2;1
8-clean-v2.png;v2/8-clean-v2.png;false;true;EMPTY;false;2;2
30-clean-v2.png;v2/30-clean-v2.png;false;true;EMPTY;false;2;2
4-obf-v2.png;v2/4-obf-v2.png;7;8;16;7;10;1
62-clean-v2.png;v2/62-clean-v2.png;50;100;500;50;2;2
54-obf-v2.png;v2/54-obf-v2.png;0;2;6;0;2;1
6-clean-v2.png;v2/6-clean-v2.png;false;true;EMPTY;true;2;2
9-obf-v2.png;v2/9-obf-v2.png;false;true;EMPTY;false;2;1
