Snippet Name;Image Path;Answer_1;Answer_2;Answer_3;Correct_Answer;Break Duration;Event Code
10-clean-v1.png;v1/10-clean-v1.png;-1;0;5;-1;10;2
13-clean-v1.png;v1/13-clean-v1.png;4;7;11;11;2;2
16-obf-v1.png;v1/16-obf-v1.png;4;5;6;5;2;1
-obf-v1.png;v1/-obf-v1.png;false;true;EMPTY;false;2;1
57-obf-v1.png;v1/57-obf-v1.png;6;10;13;10;2;1
11-clean-v1.png;v1/11-clean-v1.png;false;true;EMPTY;false;2;2
49-obf-v1.png;v1/49-obf-v1.png;10;22;40;22;2;1
14-clean-v1.png;v1/14-clean-v1.png;3;4;12;12;10;2
5-clean-v1.png;v1/5-clean-v1.png;false;true;EMPTY;true;2;2
18-obf-v1.png;v1/18-obf-v1.png;2;5;7;2;2;1
12-obf-v1.png;v1/12-obf-v1.png;-1;0;1;0;2;1
61-clean-v1.png;v1/61-clean-v1.png;42;128;256;256;2;2
7-clean-v1.png;v1/7-clean-v1.png;7;8;9;7;2;2
60-obf-v1.png;v1/60-obf-v1.png;0;2;512;0;2;1
15-clean-v1.png;v1/15-clean-v1.png;12.0;13.0;14.0;13.0;2;2
63-obf-v1.png;v1/63-obf-v1.png;5;10;12;5;2;1
17-obf-v1.png;v1/17-obf-v1.png;1;3;4;1;2;1
8-clean-v1.png;v1/8-clean-v1.png;false;true;EMPTY;false;2;2
30-clean-v1.png;v1/30-clean-v1.png;false;true;EMPTY;true;2;2
4-obf-v1.png;v1/4-obf-v1.png;3;4;6;6;2;1
62-clean-v1.png;v1/62-clean-v1.png;30;60;84;60;10;2
54-obf-v1.png;v1/54-obf-v1.png;9;15;24;9;2;1
6-clean-v1.png;v1/6-clean-v1.png;false;true;EMPTY;true;2;2
9-obf-v1.png;v1/9-obf-v1.png;false;true;EMPTY;true;2;1
